Mint Cinnamon 18.2
   1 21 ReparentNotify
   2 28 PropertyNotify
   3 28 PropertyNotify
   4 28 PropertyNotify
   5 22 ConfigureNotify
   6 28 PropertyNotify
   7 28 PropertyNotify
   8 28 PropertyNotify
   9 22 ConfigureNotify
  10 28 PropertyNotify
  11 19 MapNotify
  12 12 Expose
  13  9 FocusIn
  14 11 KeymapNotify
  15 28 PropertyNotify
  16  3 KeyRelease
  17 28 PropertyNotify
  18 28 PropertyNotify
  19 28 PropertyNotify
  20 10 FocusOut
  21 28 PropertyNotify  <<<- no nunmap

Mint Mate 18.2
   1 28 PropertyNotify
   2 21 ReparentNotify
   3 28 PropertyNotify
   4 28 PropertyNotify
   5 28 PropertyNotify
   6 22 ConfigureNotify
   7 28 PropertyNotify
   8 28 PropertyNotify
   9 28 PropertyNotify
  10 22 ConfigureNotify
  11 19 MapNotify
  12 12 Expose
  13 28 PropertyNotify
  14  9 FocusIn
  15 11 KeymapNotify
  16 28 PropertyNotify
  17 28 PropertyNotify
  18  3 KeyRelease
  19 10 FocusOut
  20 18 UnmapNotify     <<<- unmap
  21 28 PropertyNotify
  22 28 PropertyNotify

KDE 5
   1 28 PropertyNotify
   2 21 ReparentNotify
   3 28 PropertyNotify
   4 19 MapNotify
   5 12 Expose
   6 28 PropertyNotify
   7 28 PropertyNotify
   8 28 PropertyNotify
   9 28 PropertyNotify
  10 28 PropertyNotify
  11 28 PropertyNotify
  12 28 PropertyNotify
  13 28 PropertyNotify
  14 28 PropertyNotify
  15 28 PropertyNotify
  16  9 FocusIn
  17 11 KeymapNotify
  18 12 Expose
  19 12 Expose
  20 22 ConfigureNotify
  21 28 PropertyNotify
  22 28 PropertyNotify
  23 28 PropertyNotify
  24 28 PropertyNotify
  25 10 FocusOut
  26 18 UnmapNotify     <<<- unmap
  27 28 PropertyNotify

Gnome 3.20.2
   1 21 ReparentNotify
   2 28 PropertyNotify
   3 22 ConfigureNotify
   4 28 PropertyNotify
   5 28 PropertyNotify
   6 28 PropertyNotify
   7 22 ConfigureNotify
   8 28 PropertyNotify
   9 19 MapNotify
  10 12 Expose
  11  9 FocusIn
  12 11 KeymapNotify
  13 28 PropertyNotify
  14 28 PropertyNotify
  15 10 FocusOut
  16 28 PropertyNotify
  17 28 PropertyNotify
  18 10 FocusOut
  19 28 PropertyNotify <<<- no unmap

Mate 1.18.1
   1 28 PropertyNotify
   2 21 ReparentNotify
   3 28 PropertyNotify
   4 28 PropertyNotify
   5 28 PropertyNotify
   6 22 ConfigureNotify
   7 28 PropertyNotify
   8 28 PropertyNotify
   9 22 ConfigureNotify
  10 19 MapNotify
  11 12 Expose
  12 28 PropertyNotify
  13  9 FocusIn
  14 11 KeymapNotify
  15 28 PropertyNotify
  16  3 KeyRelease
  17 28 PropertyNotify
  18 28 PropertyNotify
  19 10 FocusOut
  20 18 UnmapNotify <<<- unmap
  21 28 PropertyNotify
  22 28 PropertyNotify
